title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,day_of_week,quarter,magnitude_from_title,city,location_country,magnitude_category,depth_category,seismic_energy,alert_level,distance_from_equator,time_of_day,season,magnitude_depth_ratio,is_coastal
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,2022-01-11 12:39:00,8,5,green,1,674,us,0,0.507,49.0,mww,19.0,52.6252,-168.15,"Nikolski, Alaska",Unknown,Alaska,2022,1,11,12,1,1,6.6,Nikolski,Alaska,Great,Very Shallow,501187233627271.44,green,52.6252,Morning,Winter,0.34736842105263155,True
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,2022-01-11 11:35:00,0,4,unknown,1,691,at,50,0.936943,126.0,Mi,33.0,52.48,-167.736,"Nikolski, Alaska",Unknown,Alaska,2022,1,11,11,1,1,6.7,Nikolski,Alaska,Great,Very Shallow,707945784384140.2,unknown,52.48,Morning,Winter,0.20303030303030303,True
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,2022-01-11 11:35:00,0,4,unknown,1,691,pt,20,0.0,205.2,Mi,33.0,52.48,-167.736,"Nikolski, Alaska",Unknown,Alaska,2022,1,11,11,1,1,6.7,Nikolski,Alaska,Great,Very Shallow,707945784384140.2,unknown,52.48,Morning,Winter,0.20303030303030303,True
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,2022-01-11 11:35:00,7,6,green,1,730,us,0,0.92,61.0,mww,20.0,52.6563,-167.917,"Nikolski, Alaska",Unknown,Alaska,2022,1,11,11,1,1,6.8,Nikolski,Alaska,Great,Very Shallow,1000000000000000.0,green,52.6563,Morning,Winter,0.33999999999999997,True
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,2022-01-11 01:07:00,6,6,green,0,976,us,0,1.168,21.0,mww,21.0,35.1456,31.9095,"Pólis, Cyprus",Asia,Cyprus,2022,1,11,1,1,1,6.6,Pólis,Cyprus,Great,Very Shallow,501187233627271.44,green,35.1456,Night,Winter,0.3142857142857143,True
"M 6.6 - northern Qinghai, China",6.6,2022-01-07 17:45:00,9,8,orange,0,1012,us,0,2.685,13.0,mww,13.0,37.8167,101.299,"northern Qinghai, China",Asia,People's Republic of China,2022,1,7,17,4,1,6.6,northern Qinghai,China,Great,Very Shallow,501187233627271.44,orange,37.8167,Afternoon,Winter,0.5076923076923077,True
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,2021-12-29 18:25:00,8,7,green,0,921,us,0,3.713,19.0,mww,165.49,-7.5924,127.581,"Lospalos, Timor Leste",Unknown,Indonesia,2021,12,29,18,2,4,7.3,Lospalos,Timor Leste,Severe,Intermediate,5623413251903491.0,green,7.5924,Afternoon,Fall,0.044111426672306484,False
M 7.3 - Flores Sea,7.3,2021-12-14 03:20:00,9,5,green,1,854,us,0,1.025,32.0,mww,14.27,-7.6033,122.2,Flores Sea,Asia,Indonesia,2021,12,14,3,1,4,7.3,Flores Sea,,Severe,Very Shallow,5623413251903491.0,green,7.6033,Night,Fall,0.51156271899089,True
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,2021-11-28 10:52:00,8,8,yellow,1,1094,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,"Barranca, Peru",South America,Peru,2021,11,28,10,6,4,7.5,Barranca,Peru,Severe,Shallow,1.1220184543019652e+16,yellow,4.4898,Morning,Fall,0.05952380952380952,False
"M 6.6 - 177 km SE of Hirara, Japan",6.6,2021-11-10 15:45:00,7,4,green,1,688,us,0,3.259,15.0,mww,12.0,23.5414,126.48,"Hirara, Japan",Unknown,Japan,2021,11,10,15,2,4,6.6,Hirara,Japan,Great,Very Shallow,501187233627271.44,green,23.5414,Afternoon,Fall,0.5499999999999999,True
"M 6.9 - 112 km E of Chignik, Alaska",6.9,2021-10-11 09:10:00,8,6,green,1,995,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,"Chignik, Alaska",North America,United States of America,2021,10,11,9,0,4,6.9,Chignik,Alaska,Great,Very Shallow,1412537544622761.2,green,56.2581,Morning,Fall,0.13372093023255816,False
M 6.9 - Vanuatu region,6.9,2021-10-09 10:58:00,4,3,green,1,740,us,0,4.778,31.0,mww,535.0,-21.1704,174.54,Vanuatu region,Unknown,Unknown,2021,10,9,10,5,4,6.9,Vanuatu region,,Great,Very Deep,1412537544622761.2,green,21.1704,Morning,Fall,0.012897196261682243,False
